condition,label,reward,dataset_tag,dataset,split,method,repeat,seed,epochs,lr,config_path,result_path,status,original_wer,updated_wer,wer_delta,relative_delta_pct
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,TAL,this_american_life,test,RewardConditionedMaskLMReward1,2,123457,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/TAL_test_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/TAL_test_epoch1_lr1e-5_repeat2.txt,complete,0.165691,0.158939,-0.006752,-4.08
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,TAL,this_american_life,test,RewardConditionedMaskLMReward1,2,123457,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/TAL_test_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/TAL_test_epoch5_lr1e-5_repeat2.txt,complete,0.165686,0.159142,-0.006544,-3.95
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,TAL,this_american_life,test,RewardConditionedMaskLMReward1,3,123458,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/TAL_test_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/TAL_test_epoch1_lr1e-5_repeat3.txt,complete,0.165691,0.158454,-0.007237,-4.37
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,TAL,this_american_life,test,RewardConditionedMaskLMReward1,3,123458,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/TAL_test_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/TAL_test_epoch5_lr1e-5_repeat3.txt,complete,0.165691,0.155386,-0.010305,-6.22
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,chime6,chime6,test,RewardConditionedMaskLMReward1,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/chime6_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/chime6_test_epoch1_lr1e-5.txt,complete,0.843620,0.830649,-0.012971,-1.54
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,chime6,chime6,test,RewardConditionedMaskLMReward1,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/chime6_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/chime6_test_epoch5_lr1e-5.txt,complete,0.843620,1.000000,0.156380,18.54
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,chime6,chime6,test,RewardConditionedMaskLMReward1,2,123457,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/chime6_test_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/chime6_test_epoch1_lr1e-5_repeat2.txt,complete,0.843620,0.828569,-0.015051,-1.78
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,chime6,chime6,test,RewardConditionedMaskLMReward1,2,123457,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/chime6_test_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/chime6_test_epoch5_lr1e-5_repeat2.txt,complete,0.843585,1.000000,0.156415,18.54
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,chime6,chime6,test,RewardConditionedMaskLMReward1,3,123458,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/chime6_test_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/chime6_test_epoch1_lr1e-5_repeat3.txt,complete,0.843638,0.822506,-0.021131,-2.50
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,chime6,chime6,test,RewardConditionedMaskLMReward1,3,123458,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/chime6_test_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/chime6_test_epoch5_lr1e-5_repeat3.txt,complete,0.843620,1.000000,0.156380,18.54
