method,table_method,dataset_tag,dataset,dataset_label,split,epochs,lr,repeat,seed,config_path,result_path,status,result_id,original_wer,updated_wer,wer_delta,relative_delta_pct
RMM,RMM,earnings22,earnings22,Earnings-22,test,1,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/earnings22_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/earnings22_epoch1_lr1e-5_repeat2.txt,complete,ROB-337-earnings22-test-RMM-epoch1-lr1e-5-repeat2-seed223456,0.235218430,0.197884117,-0.037334314,-15.87
RMM,RMM,earnings22,earnings22,Earnings-22,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/earnings22_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/earnings22_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-earnings22-test-RMM-epoch1-lr1e-5-repeat3-seed323456,0.235238854,0.196127688,-0.039111166,-16.63
RMM,RMM,earnings22,earnings22,Earnings-22,test,5,1e-5,1,123456,exp/results/repro/RMM/configs/earnings22_epoch5_lr1e-5.yaml,exp/results/repro/RMM/earnings22_epoch5_lr1e-5.txt,complete,ROB-108-earnings22-test-RMM-earnings22_epoch5_lr1e-5-repeat1,0.235218430,0.183996079,-0.051222352,-21.78
RMM,RMM,earnings22,earnings22,Earnings-22,test,5,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/earnings22_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/earnings22_epoch5_lr1e-5_repeat2.txt,complete,ROB-337-earnings22-test-RMM-epoch5-lr1e-5-repeat2-seed223456,0.235198007,0.183281253,-0.051916753,-22.07
RMM,RMM,earnings22,earnings22,Earnings-22,test,5,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/earnings22_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/earnings22_epoch5_lr1e-5_repeat3.txt,complete,ROB-337-earnings22-test-RMM-epoch5-lr1e-5-repeat3-seed323456,0.235218430,0.183138288,-0.052080142,-22.14
RMM,RMM,rev16,rev16,Rev16,test,1,1e-5,1,123456,exp/results/repro/RMM/configs/rev16_epoch1_lr1e-5.yaml,exp/results/repro/RMM/rev16_epoch1_lr1e-5.txt,complete,ROB-108-rev16-test-RMM-rev16_epoch1_lr1e-5-repeat1,0.172504123,0.164109216,-0.008394908,-4.87
RMM,RMM,rev16,rev16,Rev16,test,1,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/rev16_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/rev16_epoch1_lr1e-5_repeat2.txt,complete,ROB-337-rev16-test-RMM-epoch1-lr1e-5-repeat2-seed223456,0.172575613,0.164875174,-0.007700439,-4.46
RMM,RMM,rev16,rev16,Rev16,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/rev16_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/rev16_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-rev16-test-RMM-epoch1-lr1e-5-repeat3-seed323456,0.172575613,0.164527940,-0.008047673,-4.66
RMM,RMM,rev16,rev16,Rev16,test,5,1e-5,1,123456,exp/results/repro/RMM/configs/rev16_epoch5_lr1e-5.yaml,exp/results/repro/RMM/rev16_epoch5_lr1e-5.txt,complete,ROB-108-rev16-test-RMM-rev16_epoch5_lr1e-5-repeat1,0.172509230,0.266461730,0.093952500,54.46
RMM,RMM,rev16,rev16,Rev16,test,5,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/rev16_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/rev16_epoch5_lr1e-5_repeat2.txt,complete,ROB-337-rev16-test-RMM-epoch5-lr1e-5-repeat2-seed223456,0.172570507,0.160095592,-0.012474915,-7.23
