dataset_tag,dataset,split,method,candidate_repeats,trial,seed,source,epochs,lr,result_path,status,original_wer,updated_wer,absolute_delta,relative_delta_pct
tedlium,tedlium,test,UFMR,20,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats20_seed123458_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,40,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats40_seed123456_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,40,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats40_seed123457_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,40,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats40_seed123458_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,100,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats100_seed123456_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,100,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats100_seed123457_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,100,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats100_seed123458_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,200,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats200_seed123456_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,200,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats200_seed123457_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,200,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats200_seed123458_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,1000,1,123456,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats1000_seed123456_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,1000,2,123457,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats1000_seed123457_epoch1_lr1e-5.txt,missing,,,,
tedlium,tedlium,test,UFMR,1000,3,123458,ROB-177 ablation,1,1e-5,exp/results/repro/symphony/rob-177/results/UFMR/tedlium_test_candidate_repeats1000_seed123458_epoch1_lr1e-5.txt,missing,,,,
